country_code,currency_code,currency_sign
GHA,GHS,₵
GAB,XAF,₣
GUY,GYD,$
GMB,GMD,D
GTM,GTQ,Q
GRD,XCD,$
GRC,EUR,€
GIN,GNF,₣
GNB,XOF,F.
NAM,NAD,$
NAM,ZAR,R
NRU,AUD,$
NGA,NGN,₦
SSD,SSP,£
ZAF,ZAR,R
NLD,EUR,€
NPL,NPR,₨
NOR,NOK,kr
NZL,NZD,$
NIU,NZD,$
NER,XOF,F.
NIC,NIO,C$
DNK,DKK,kr
DOM,DOP,$
DMA,XCD,$
DEU,EUR,€
TLS,USD,$
LAO,LAK,₭
LBR,LRD,$
LVA,EUR,€
RUS,RUB,р.
LBN,LBP,ل.ل
LSO,LSL,L
LSO,ZAR,R
ROU,RON,L
LUX,EUR,€
RWA,RWF,₣
LBY,LYD,ل.د
LTU,EUR,€
LIE,CHF,₣
MDG,MGA,Ar.
MHL,USD,$
FSM,USD,$
MWI,MWK,MK
MYS,MYR,RM
MLI,XOF,F.
MEX,MXN,$
MEX,MXN,$
MCO,EUR,€
MAR,MAD,د.م.
MUS,MUR,₨
MRT,MRU,UM
MOZ,MZN,MTn
MNE,EUR,€
MDA,MDL,L
MDV,MVR,ރ.
MLT,EUR,€
MNG,MNT,₮
USA,USD,$
MMR,MMK,K
VUT,VUV,Vt
BHR,BHD,ب.د
BRB,BBD,$
VAT,EUR,€
BHS,BSD,$
BGD,BDT,৳
BEN,XOF,F.
VEN,VED,Bs.
VNM,VND,₫
BEL,EUR,€
BLR,BYN,Br
BLZ,BZD,$
BIH,BAM,КМ
BWA,BWP,P
BOL,BOB,Bs.
BOL,BOB,Bs
BDI,BIF,₣
BFA,XOF,F.
BTN,BTN,Nu.
BTN,INR,₹
MKD,MKD,ден
BGR,BGN,лв
BRA,BRL,R$
BRN,BND,$
WSM,WST,T
SAU,SAR,ر.س
CYP,TRY,₤
SMR,EUR,€
STP,STN,Db
SEN,XOF,F.
SRB,RSD,din
SYC,SCR,₨
LCA,XCD,$
VCT,XCD,$
KNA,XCD,$
SOM,SOS,Sh
SLB,SBD,$
SDN,SDG,£
SUR,SRD,$
LKA,LKR,Rs
SWE,SEK,kr
CHE,CHF,Fr
CHE,CHF,₣
ESP,EUR,€
SVK,EUR,€
SVN,EUR,€
SYR,SYP,ل.س
SLE,SLE,Le
SGP,SGD,$
ARE,AED,د.إ
ARM,AMD,Դ
ARG,ARS,$
ISL,ISK,Kr
HTI,HTG,G
HTI,USD,$
IRL,EUR,€
AZE,AZN,ман
AFG,AFN,Af
AND,EUR,€
ALB,ALL,L
DZA,DZD,د.ج
AGO,AOA,Kz
ATG,XCD,$
ERI,ERN,Nfk
SWZ,SZL,L
EST,EUR,€
ECU,USD,$
ETH,ETB,ብር
SLV,USD,$
SLV,USD,$
GBR,GBP,£
YEM,YER,﷼
OMN,OMR,ر.ع.
AUT,EUR,€
HND,HNL,L
JOR,JOD,د.ا
UGA,UGX,Sh
URY,UYU,$
URY,UYU,$
UZB,UZS,-
UKR,UAH,₴
IRQ,IQD,ع.د
IRN,IRR,﷼
ISR,ILS,₪
EGY,EGP,£
ITA,EUR,€
IND,INR,₹
IDN,IDR,Rp
JPN,JPY,¥
JAM,JMD,$
ZMB,ZMW,ZK
GNQ,XAF,₣
GEO,GEL,ლ
CHN,CNY,¥
CAF,XAF,F
DJI,DJF,₣
ZWE,ZWL,$
TCD,XAF,₣
CZE,CZK,Kč
CHL,CLP,$
CHL,CLP,$
CMR,XAF,₣
CPV,CVE,$
KAZ,KZT,〒
QAT,QAR,ر.ق
KHM,KHR,៛
CAN,CAD,$
KEN,KES,Sh
COM,KMF,FC
XKX,EUR,€
CRI,CRC,₡
CIV,XOF,F.
COL,COP,$
COL,COP,$
COG,XAF,F
COD,CDF,₣
CUB,CUP,$
CUB,CUP,$
KWT,KWD,د.ك
COK,NZD,$
HRV,HRK,Kn
KGZ,KGS,с
KIR,AUD,$
TJK,TJS,ЅМ
TZA,TZS,Sh
THA,THB,฿
TUR,TRY,₤
TGO,XOF,F.
TON,TOP,T$
TKM,TMT,m
TUV,AUD,$
TUN,TND,د.ت
TTO,TTD,$
PAN,PAB,B/.
PAN,USD,$
PRY,PYG,₲
PAK,PKR,₨
PNG,PGK,K
PLW,USD,$
PSE,-,-
PER,PEN,S/.
PRT,EUR,€
POL,PLN,zł
FRA,EUR,€
FJI,FJD,$
FIN,EUR,€
PHL,PHP,₱
HUN,HUF,Ft
AUS,AUD,$
MAC,MOP,P
GUM,USD,$
YUG,RSD,din
KOR,KRW,₩
PRI,USD,$
TWN,TWD,$
HKG,HKD,$
