country_code,country_name_eng,country_name_kor,climate,language,utc,voltage, plug_type
GHA,Ghana,가나,"연평균 기온은 27℃, 강수량은 1500mm 내외, 열대 기후가 특징이며, 습도가 높아 습하고 더운 날씨. 열대 기후로 남동해안은 온난 건조, 남서해안은 고온 다습하며 북부지방은 고온 건조한 편.","영어, 아칸 언어",0.0,230 V,"D, G"
GAB,Gabon,가봉,"연평균 기온은 25℃, 강수량은 북쪽이 3000mm 이상으로 비가 자주 오는 반면, 남쪽은 900mm 정도로 건조. 열대 기후로 연중 덥고 습하며, 장마철과 건조한 계절이 분명히 나뉘어 짐",프랑스어,1.0,220 V,C
GUY,Guyana,가이아나,"연평균 기온은 26℃, 강수량은 2300mm, 열대 기후로 대체로 습하고 비가 많이 내리는 편",영어,-4.0,240 V,"A, B, D, G"
GMB,Gambia,감비아,"연평균 기온은 25℃에서 30℃ 사이, 강수량은 1,400mm, 주로 건조한 계절과 비가 많이 내리는 계절이 번갈아 가며, 여름에는 고온다습한 기후",영어,0.0,230 V,G
GTM,Guatemala,과테말라,"연평균 기온은 약 22℃, 강수량은 약 1,000mm에서 3,000mm 사이, 비교적 습도가 높아 상대적으로 습하고 더운 기후, 계절별 온도 변화가 크지 않고 대체로 안정적인 기후","스페인어, 인디언어, 가리프나어",-6.0,120 V,"A, B"
GRD,Grenada,그레나다,"연평균 기온이 25℃에서 30℃ 사이, 강수량은 연간 약 1500mm, 장마철에는 강수량이 늘어나는 편, 전반적으로 온화한 기후",영어,-4.0,230 V,G
GRC,Greece,그리스,"연평균 기온은 4월부터 10월까지 20℃에서 30℃ 사이로 높아지며, 겨울에는 10℃ 이하로 낮아짐. 강수량은 400mm에서 600mm 사이, 주로 겨울에 강우가 집중, 지중해 기후의 영향을 받아 맑은 날씨가 많음","그리스어, 영어",2.0,230 V,"C, F"
GIN,Guinea,기니,"연평균 기온은 24℃에서 32℃ 사이, 강수량은 연간 1500mm에서 4000mm, 열대 기후로 일년 내내 더운 날씨, 습도가 높아 습기를 많이 느낄 수 있음","프랑스어, 풀라어",0.0,220 V,"C, F, K"
GNB,Guinea-Bissau,기니비사우,"연평균 기온은 여름에는 30℃ 이상, 겨울에도 25℃ 이상, 강수량은 4월부터 10월까지 비가 많이 오며, 강수량은 2000mm 정도, 열대 기후로, 습도가 높아 습한 날씨, 우기와 건기가 뚜렷","포르투갈어, 크레올어",0.0,220 V,C
NAM,Namibia,나미비아,"연평균 기온은 20℃에서 30℃ 사이, 강수량은 50mm에서 700mm 사이, 사막과 반건조 기후로 건조",영어,1.0,220 V,"D, M"
NRU,Nauru,나우루,"연평균 기온은 26℃에서 31℃ 사이, 강수량은 약 3,000mm, 열대 기후에 속하며 겨울철에도 따뜻한 기온을 유지","나우루어, 영어",12.0,240 V,I
NGA,Nigeria,나이지리아,"연평균 기온은 25℃에서 30℃ 사이, 강수량은 1000mm에서 4000mm, 열대기후로, 연중 고온 다습",영어,1.0,230 V,"D, G"
SSD,South Sudan,남수단,"연평균 기온은 25℃로 높고, 강수량은 500mm에서 1000mm 사이, 열대사막 기후가 주를 이루며 건조하고 뜨거운 날씨",아랍어,3.0,230 V,"C, D"
ZAF,South Africa,남아프리카공화국,"연평균 기온은 20℃에서 30℃ 사이, 강수량은 강수량은 450mm 내외, 대체로 맑고 따뜻한 기후","아프리칸스어, 영어, 은데벨레어",2.0,230 V,"C, M, N"
NLD,Netherlands,네덜란드,"연평균 기온은 10℃ 전후, 강수량은 약 800mm, 해양성 기후로, 온난하고 습한 날씨가 지속되며 일년 내내 비가 자주 내림","네덜란드어, 프리지아어",1.0,230 V,"C, F"
NPL,Nepal,네팔,"연평균 기온은 20℃에서 28℃ 사이, 강수량은 1000mm에서 2500mm 사이, 고산 지대와 아열대 지대가 만나 다양한 기후를 경험할 수 있으며, 계절에 따라 기온과 강수량이 크게 변화","네팔어, 힌디어, 영어",5.75,230 V,"C, D, M"
NOR,Norway,노르웨이,"연평균 기온은 남부 지역에서는 약 1℃에서 4℃ 사이, 북부 지역에서는 -6℃에서 1℃, 강수량은 서부 지역에서 많고, 동부 지역에서는 적음, 북쪽으로 갈수록 추워지고, 서쪽은 비가 자주 오는 습도가 높은 기후이며, 동쪽은 건조한 대륙 기후를 가짐",노르웨이어,1.0,230 V,"C, F"
NZL,New Zealand,뉴질랜드,"연평균 기온은 10℃에서 16℃ 사이, 강수량은 지역에 따라 상이하나 일반적으로 북쪽이 더 습기가 많음, 봄과 가을에는 일국적인 날씨 변화가 심하지만 여름과 겨울은 비교적 안정적이며 시원한 바다 바람이 많이 불어 상쾌한 날씨를 가짐",영어,12.0,230 V,I
NIU,Niue,니우에,"연평균 기온은 약 15℃, 강수량은 1,000mm 정도, 평균적으로 따뜻한 날씨가 이어지며, 주로 흐린 날씨가 많음",영어,-11.0,230 V,I
NER,Niger,니제르,"연평균 기온은 25℃에서 30℃ 사이, 강수량은 매우 적어 건조한 기후, 사해사로 돌아가는 건조한 붉은 모래 바람인 '하림탄'이 건조한 날씨를 유발, 낮과 밤의 기온 차이가 큼","아랍어, 프랑스어",1.0,220 V,"A, B, C, D, E, F"
NIC,Nicaragua,니카라과,"연평균 기온은 약 27℃에서 32℃ 사이, 강수량은 연간 1500mm에서 3000mm, 열대 기후가 주를 이루며, 습도가 높음","스페인어, 미스티소, 크리올",-6.0,120 V,"A, B"
DNK,Denmark,덴마크,"연평균 기온은 8℃에서 15℃ 사이, 강수량은 분포가 고르며, 겨울에는 비가 많이 올 수 있지만 여름에는 상대적으로 건조, 날씨가 안정적이며 극단적인 기상 현상이 드믐",덴마크어,1.0,230 V,"C, F, E, K"
DOM,Dominican Republic,도미니카공화국,"연평균 기온은 25℃에서 28℃ 사이, 여름에는 32℃까지 올라갈 수 있음. 강수량은 약 1400mm, 5월부터 11월까지 풍부한 강우가 내림, 열대 기후의 영향을 받아 주로 습도가 높고 낮과 밤의 온도차가 큼","아랍어, 프랑스어, 베를린본어",1.0,110 V,"A, B"
DMA,Dominica,도미니카연방,"연평균 기온은 25℃에서 28℃ 사이, 강수량은 1,000mm 이상, 습도가 높아 습기가 많음, 여름철에는 열대성 폭염","크리올어, 프랑스어",-4.0,230 V,"D, G"
DEU,Germany,독일,"연평균 기온은 겨울에는 1℃에서 -10℃ 사이로 춥고 여름에는 20℃에서 30℃까지 올라감, 강수량은 500mm에서 800mm, 쾌적한 기후로, 사계절이 뚜렷함",독일어,1.0,230 V,"C, F"
TLS,Timor-Leste,동티모르,"연평균 기온은 25℃ 정도, 강수량은 약 1200mm, 열대 기후의 영향을 받는 지역으로, 일년 내내 따뜻한 기온과 습기가 유지","포르투갈어, 타라귀어, 프랑스어",0.0,220 V,"C, E, F, I"
LAO,Laos,라오스,"연평균 기온은 25℃에서 30℃ 사이, 강수량은 북부 지역에서는 100mm 미만, 남부 지역에서는 300mm 이상, 5월부터 10월까지 장마철이지만 11월부터 4월까지는 건조한 계절, 동쪽 산악 지역은 서쪽 평원에 비해 기온과 강수량이 다소 낮음","라오어, 프랑스어",7.0,230 V,"A, B, C, E, F"
LBR,Liberia,라이베리아,"연평균 기온은 약 27℃, 강수량은 2000mm 이상, 열대 기후의 영향으로 습기가 많고 습하며 건조기는 거의 없음, 열대우림 기후가 지배하여 뜨거운 습기가 많음",영어,0.0,"120 V, 220 V","A, B, C, E, F"
